#,"Country,
Other","Total
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
94,Qatar,450448.00,682,,443418.00,"6,348",4,"151,161",229,"3,951,470","1,326,034","2,979,915"
95,Armenia,442875.00,"8,683",,430192.00,"4,000",,"149,018","2,922","3,210,961","1,080,416","2,971,966"
96,Bosnia and Herzegovina,398668.00,"16,136",,376654.00,"5,878",,"122,693","4,966","1,861,041","572,748","3,249,317"
97,Oman,397993.00,"4,260",,384669.00,"9,064",2,"74,755",800,"25,000,000","4,695,724","5,323,993"
98,North Macedonia,342775.00,"9,534",,332806.00,435,,"164,692","4,581","2,130,257","1,023,520","2,081,304"
99,Kenya,338420.00,"5,678",,332663.00,79,1,"6,020",101,"3,881,967","69,055","56,215,221"
100,Zambia,333531.00,"4,017",,329375.00,139,,"17,130",206,"3,731,374","191,645","19,470,234"
101,Albania,332173.00,"3,588",,326729.00,"1,856",,"115,886","1,252","1,941,032","677,173","2,866,374"
102,Botswana,326308.00,"2,789",,322955.00,564,1,"133,669","1,142","2,026,898","830,300","2,441,162"
103,Luxembourg,288658.00,"1,123",,283668.00,"3,867",,"449,363","1,748","4,402,293","6,853,194","642,371"
104,Montenegro,280002.00,"2,781",,276154.00,"1,067",6,"445,899","4,429","2,624,193","4,178,984","627,950"
105,Algeria,270668.00,"6,879",,182306.00,"81,483",6,"5,968",152,"230,861","5,091","45,350,148"
106,Nigeria,265382.00,"3,155",,258381.00,"3,846",11,"1,224",15,"5,441,162","25,104","216,746,934"
107,Zimbabwe,257409.00,"5,602",,251281.00,526,12,"16,790",365,"2,511,501","163,814","15,331,428"
108,China,250449.00,"5,226",,242254.00,"2,969",36,173,4,"160,000,000","110,461","1,448,471,400"
109,Uzbekistan,244199.00,"1,637",,241486.00,"1,076",23,"7,103",48,"1,377,915","40,077","34,382,084"
110,Mozambique,230219.00,"2,221",,227882.00,116,11,"6,957",67,"1,371,127","41,437","33,089,461"
111,Brunei,226237.00,225,,222140.00,"3,872",3,"507,906",505,"717,784","1,611,437","445,431"
112,Martinique,221618.00,"1,044",,N/A,N/A,8,"592,424","2,791","828,928","2,215,870","374,087"
113,Laos,215843.00,758,,N/A,N/A,,"28,852",101,"1,233,207","164,845","7,481,023"
114,Kyrgyzstan,206083.00,"2,991",,196406.00,"6,686",131,"30,629",445,"1,907,195","283,460","6,728,271"
115,Iceland,205637.00,213,,N/A,N/A,2,"595,371",617,"1,996,384","5,780,036","345,393"
116,El Salvador,201785.00,"4,229",,179410.00,"18,146",8,"30,805",646,"2,610,114","398,467","6,550,389"
117,Afghanistan,199067.00,"7,799",,177850.00,"13,418","1,124","4,885",191,"1,103,716","27,082","40,754,388"
118,Guadeloupe,192801.00,989,,N/A,N/A,19,"482,251","2,474","938,039","2,346,306","399,794"
119,Maldives,185042.00,308,,163687.00,"21,047",25,"342,046",569,"2,213,831","4,092,223","540,985"
120,Trinidad and Tobago,182597.00,"4,195",,174214.00,"4,188",18,"129,816","2,982","834,508","593,287","1,406,585"
121,Uganda,169396.00,"3,628",,100431.00,"65,337",3,"3,498",75,"3,012,408","62,198","48,432,863"
122,Namibia,169253.00,"4,065",,164813.00,375,,"64,260","1,543","1,062,663","403,460","2,633,874"
123,Ghana,169100.00,"1,459",,167307.00,334,2,"5,220",45,"2,504,017","77,295","32,395,450"
124,Jamaica,151829.00,"3,317",,99239.00,"49,273",,"50,862","1,111","1,183,986","396,633","2,985,094"
125,Cambodia,137870.00,"3,056",,134745.00,69,,"8,030",178,"3,069,567","178,789","17,168,639"
126,Rwanda,132498.00,"1,466",,130955.00,77,,"9,742",108,"5,816,624","427,678","13,600,464"
127,Cameroon,121652.00,"1,935",,118616.00,"1,101",13,"4,358",69,"1,751,774","62,762","27,911,548"
128,Malta,114652.00,806,,113195.00,651,4,"258,206","1,815","2,060,900","4,641,322","444,033"
129,Angola,103131.00,"1,917",,101155.00,59,,"2,944",55,"1,499,795","42,818","35,027,343"
130,Barbados,102546.00,559,,101760.00,227,,"356,034","1,941","765,378","2,657,350","288,023"
131,French Guiana,93974.00,410,,11254.00,"82,310",3,"299,119","1,305","651,257","2,072,951","314,169"
132,DRC,92852.00,"1,442",,83504.00,"7,906",,975,15,"846,704","8,890","95,240,792"
133,Channel Islands,91561.00,202,,90639.00,720,,"518,868","1,145","1,252,808","7,099,551","176,463"
134,Senegal,88373.00,"1,968",,86297.00,108,,"5,006",111,"1,146,543","64,946","17,653,671"
135,Malawi,88024.00,"2,682",,84872.00,470,67,"4,362",133,"616,772","30,562","20,180,839"
136,Ivory Coast,87208.00,826,,86338.00,44,,"3,144",30,"1,628,106","58,687","27,742,298"
137,Suriname,81106.00,"1,385",,N/A,N/A,,"135,894","2,321","239,178","400,747","596,831"
138,French Polynesia,76599.00,649,,N/A,N/A,7,"269,559","2,284",,,"284,164"
139,New Caledonia,74152.00,314,,73823.00,15,9,"254,892","1,079","98,964","340,182","290,915"
140,Eswatini,73390.00,"1,422",,71955.00,13,11,"61,942","1,200","1,045,903","882,755","1,184,817"
141,Guyana,71336.00,"1,281",,69977.00,78,,"89,839","1,613","695,695","876,141","794,045"
142,Belize,68826.00,683,,68079.00,64,6,"166,976","1,657","576,016","1,397,453","412,190"
143,Fiji,68242.00,878,,66302.00,"1,062",,"75,035",965,"662,620","728,581","909,466"
144,Madagascar,66676.00,"1,410",,65242.00,24,,"2,285",48,"512,993","17,581","29,178,077"
145,Sudan,63285.00,"4,961",,57290.00,"1,034",,"1,376",108,"562,941","12,240","45,992,020"
146,Mauritania,62812.00,995,,61789.00,28,,"12,814",203,"970,892","198,061","4,901,981"
147,Cabo Verde,62371.00,410,,61890.00,71,23,"109,870",722,"401,622","707,482","567,678"
148,Bhutan,61730.00,21,,61564.00,145,,"78,343",27,"2,303,734","2,923,739","787,941"
149,Syria,57299.00,"3,163",,54078.00,58,,"2,959",163,"146,269","7,553","19,364,809"
150,Burundi,50129.00,38,,49559.00,532,,"3,971",3,"345,742","27,386","12,624,840"
151,Gabon,48691.00,306,,48292.00,93,,"20,884",131,"1,616,256","693,216","2,331,533"
152,Seychelles,47141.00,169,,46446.00,526,,"474,132","1,700",,,"99,426"
153,Andorra,46227.00,155,,46011.00,61,14,"596,762","2,001","249,838","3,225,256","77,463"
154,Curaçao,45127.00,282,,44720.00,125,3,"272,623","1,704","496,693","3,000,640","165,529"
155,Papua New Guinea,44997.00,668,,43982.00,347,7,"4,842",72,"249,149","26,813","9,292,169"
156,Aruba,42914.00,227,,42438.00,249,2,"398,796","2,109","177,885","1,653,068","107,609"
157,Mauritius,40461.00,"1,024",,38786.00,651,,"31,741",803,"358,675","281,374","1,274,727"
158,Mayotte,40243.00,187,,N/A,N/A,,"140,582",653,"176,919","618,038","286,259"
159,Tanzania,39440.00,845,,N/A,N/A,7,623,13,,,"63,298,550"
160,Togo,39034.00,285,,38528.00,221,,"4,497",33,"791,865","91,220","8,680,837"
161,Isle of Man,38008.00,116,,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732"
162,Guinea,37652.00,449,,36880.00,323,8,"2,715",32,"660,107","47,607","13,865,691"
163,Bahamas,37267.00,833,,36070.00,364,2,"93,047","2,080","248,846","621,314","400,516"
164,Faeroe Islands,34658.00,28,,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233"
165,Lesotho,34490.00,706,,25980.00,"7,804",,"15,852",324,"431,221","198,199","2,175,699"
166,Haiti,33733.00,857,,31307.00,"1,569",,"2,888",73,"132,422","11,337","11,680,283"
167,Mali,32625.00,742,,31591.00,292,,"1,519",35,"759,178","35,354","21,473,764"
168,Cayman Islands,30661.00,32,,8553.00,"22,076",1,"455,743",476,"222,773","3,311,280","67,277"
169,Saint Lucia,29408.00,391,,28475.00,542,,"158,865","2,112","210,354","1,136,355","185,113"
170,Benin,27638.00,163,,27322.00,153,5,"2,162",13,"604,310","47,268","12,784,726"
171,Somalia,27214.00,"1,352",,13182.00,"12,680",,"1,616",80,"400,466","23,778","16,841,795"
172,Congo,24837.00,386,,24006.00,445,,"4,284",67,"347,815","59,991","5,797,805"
173,Timor-Leste,23253.00,138,,23102.00,13,,"16,980",101,"278,529","203,391","1,369,429"
174,Burkina Faso,21631.00,387,,21143.00,101,,979,18,"248,995","11,265","22,102,838"
175,Solomon Islands,21544.00,153,,16357.00,"5,034",1,"29,874",212,"5,117","7,096","721,159"
176,San Marino,20763.00,118,,20524.00,121,4,"609,154","3,462","157,634","4,624,732","34,085"
177,Gibraltar,20092.00,108,,16579.00,"3,405",,"596,131","3,204","534,283","15,852,213","33,704"
178,Liechtenstein,19713.00,86,,19403.00,224,2,"513,533","2,240","102,174","2,661,682","38,387"
179,Grenada,19536.00,237,,19248.00,51,4,"172,161","2,089","179,808","1,584,560","113,475"
180,Nicaragua,18491.00,225,,4225.00,"14,041",,"2,728",33,,,"6,779,100"
181,Bermuda,18154.00,148,,17969.00,37,,"293,095","2,389","1,006,083","16,243,126","61,939"
182,South Sudan,17823.00,138,,17335.00,350,1,"1,534",12,"410,280","35,313","11,618,511"
183,Tajikistan,17786.00,125,,17264.00,397,,"1,786",13,,,"9,957,464"
184,Equatorial Guinea,17012.00,183,,16690.00,139,5,"11,367",122,"365,697","244,342","1,496,662"
185,Tonga,16182.00,12,,15638.00,532,,"150,182",111,"535,009","4,965,327","107,749"
186,Samoa,15925.00,29,,1605.00,"14,291",4,"78,743",143,"187,397","926,612","202,239"
187,Dominica,15747.00,74,,15651.00,22,,"217,668","1,023","228,799","3,162,653","72,344"
188,Djibouti,15690.00,189,,15427.00,74,,"15,441",186,"305,941","301,094","1,016,097"
189,Marshall Islands,15275.00,17,,15166.00,92,22,"254,342",283,,,"60,057"
190,CAR,14913.00,113,,14520.00,280,2,"2,973",23,"81,294","16,205","5,016,678"
191,Monaco,14608.00,63,,14478.00,67,4,"367,192","1,584","78,646","1,976,875","39,783"
192,Gambia,12508.00,372,,12028.00,108,,"4,889",145,"155,686","60,851","2,558,482"
193,Saint Martin,11978.00,63,,1399.00,"10,516",7,"301,485","1,586","112,382","2,828,643","39,730"
194,Greenland,11971.00,21,,2761.00,"9,189",4,"210,117",369,"164,926","2,894,810","56,973"
195,Yemen,11935.00,"2,157",,9124.00,654,23,383,69,"329,592","10,579","31,154,867"
196,Vanuatu,11930.00,14,,11894.00,22,,"37,069",44,"24,976","77,606","321,832"
197,Caribbean Netherlands,11235.00,36,,10476.00,723,,"421,623","1,351","30,126","1,130,559","26,647"
198,Sint Maarten,10863.00,87,,10773.00,3,10,"247,077","1,979","62,056","1,411,454","43,966"
199,Eritrea,10169.00,103,,10063.00,3,,"2,777",28,"23,693","6,470","3,662,244"
200,Niger,9931.00,312,,8890.00,729,1,381,12,"254,538","9,759","26,083,660"
201,Micronesia,9759.00,29,,157.00,"9,573",1,"83,063",247,"21,923","186,596","117,489"
202,Antigua and Barbuda,9098.00,146,,8923.00,29,1,"91,429","1,467","18,901","189,943","99,509"
203,Guinea-Bissau,8796.00,175,,8301.00,320,6,"4,263",85,"145,231","70,385","2,063,367"
204,Comoros,8471.00,161,,8305.00,5,,"9,335",177,,,"907,419"
205,Liberia,7961.00,294,,7636.00,31,2,"1,501",55,"139,824","26,356","5,305,117"
206,Sierra Leone,7751.00,126,,N/A,N/A,,933,15,"259,958","31,296","8,306,436"
207,Chad,7583.00,193,,4874.00,"2,516",,435,11,"191,341","10,988","17,413,580"
208,British Virgin Islands,7305.00,64,,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596"
209,St. Vincent Grenadines,7112.00,115,,6641.00,356,,"63,756","1,031","100,856","904,125","111,551"
210,Saint Kitts and Nevis,6541.00,46,,6482.00,13,,"121,420",854,"124,861","2,317,778","53,871"
211,Cook Islands,6389.00,1,,6384.00,4,,"363,610",57,"19,690","1,120,596","17,571"
212,Turks and Caicos,6380.00,36,,6321.00,23,4,"160,539",906,"550,093","13,841,952","39,741"
213,Sao Tome and Principe,6230.00,77,,6132.00,21,,"27,363",338,"29,036","127,530","227,679"
214,Palau,5460.00,6,,5444.00,10,1,"299,457",329,"64,681","3,547,469","18,233"
215,St. Barth,5285.00,6,,N/A,N/A,,"531,423",603,"78,646","7,908,095","9,945"
216,Nauru,4611.00,1,,4605.00,5,,"422,911",92,"20,509","1,881,042","10,903"
217,Anguilla,3865.00,12,,3848.00,5,4,"253,775",788,"51,382","3,373,736","15,230"
218,Kiribati,3430.00,13,,2703.00,714,3,"27,792",105,,,"123,419"
219,Saint Pierre Miquelon,3188.00,1,,2449.00,738,1,"553,568",174,"24,902","4,324,015","5,759"
220,Falkland Islands,1886.00,,,1886.00,0,,"532,919",,"8,632","2,439,107","3,539"
221,Montserrat,1396.00,8,,1353.00,35,,"281,168","1,611","17,579","3,540,584","4,965"
222,Saint Helena,1355.00,,,2.00,"1,353",,"221,586",,,,"6,115"
223,Macao,793.00,6,,787.00,0,,"1,188",9,"7,850","11,760","667,490"
224,Wallis and Futuna,761.00,7,,438.00,316,,"69,295",637,"20,508","1,867,419","10,982"
225,Diamond Princess,712.00,13,,699.00,0,,,,,,
226,Niue,80.00,,,80.00,0,,"49,322",,,,"1,622"
227,Vatican City,29.00,,,29.00,0,,"36,295",,,,799
228,Tuvalu,20.00,,,,20,,"1,658",,,,"12,066"
229,Western Sahara,10.00,1,,9.00,0,,16,2,,,"626,161"
230,MS Zaandam,9.00,2,,7.00,0,,,,,,
